date,UCRY Policy Index,UCRY Price Index
2014-01-05,99.64140693,99.431646
2014-01-06,99.58850337857143,99.40872713285714
2014-01-07,99.53559982714286,99.38580826571429
2014-01-08,99.48269627571429,99.36288939857143
2014-01-09,99.42979272428572,99.33997053142858
2014-01-10,99.37688917285715,99.31705166428571
2014-01-11,99.32398562142858,99.29413279714286
2014-01-12,99.27108207,99.27121393
2014-01-13,99.29577039428573,99.28458327
2014-01-14,99.32045871857143,99.29795261
2014-01-15,99.34514704285715,99.31132194999999
2014-01-16,99.36983536714285,99.32469129
2014-01-17,99.39452369142857,99.33806063
2014-01-18,99.41921201571428,99.35142997
2014-01-19,99.44390034,99.36479931
2014-01-20,99.43331963,99.36288940428571
2014-01-21,99.42273892,99.36097949857142
2014-01-22,99.41215821,99.35906959285714
2014-01-23,99.4015775,99.35715968714285
2014-01-24,99.39099679,99.35524978142857
2014-01-25,99.38041608,99.35333987571428
2014-01-26,99.36983537,99.35142997
2014-01-27,99.39805059714286,99.38580827
2014-01-28,99.42626582428572,99.42018657
2014-01-29,99.45448105142857,99.45456487
2014-01-30,99.48269627857142,99.48894317
2014-01-31,99.51091150571428,99.52332147
2014-02-01,99.53912673285714,99.55769977
2014-02-02,99.56734196,99.59207807
2014-02-03,99.55676124857142,99.5729790142857
2014-02-04,99.54618053714286,99.55387995857143
2014-02-05,99.53559982571429,99.53478090285714
2014-02-06,99.52501911428571,99.51568184714286
2014-02-07,99.51443840285714,99.49658279142857
2014-02-08,99.50385769142858,99.47748373571429
2014-02-09,99.49327698,99.45838468
2014-02-10,99.49327698,99.46411439714285
2014-02-11,99.49327698,99.4698441142857
2014-02-12,99.49327698,99.47557383142856
2014-02-13,99.49327698,99.48130354857143
2014-02-14,99.49327698,99.48703326571429
2014-02-15,99.49327698,99.49276298285714
2014-02-16,99.49327698,99.4984927
2014-02-17,99.46153485,99.48130355
2014-02-18,99.42979272000001,99.4641144
2014-02-19,99.39805059000001,99.44692525
2014-02-20,99.36630846,99.4297361
2014-02-21,99.33456633,99.41254695
2014-02-22,99.3028242,99.3953578
2014-02-23,99.27108207,99.37816865
2014-02-24,99.39805058857144,99.47366392857144
2014-02-25,99.52501910714285,99.56915920714286
2014-02-26,99.65198762571428,99.6646544857143
2014-02-27,99.77895614428571,99.76014976428571
2014-02-28,99.90592466285715,99.85564504285715
2014-03-01,100.03289318142856,99.95114032142857
2014-03-02,100.1598617,100.0466356
2014-03-03,100.14928099999999,100.02180682857143
2014-03-04,100.1387003,99.99697805714285
2014-03-05,100.12811959999999,99.97214928571428
2014-03-06,100.1175389,99.94732051428572
2014-03-07,100.1069582,99.92249174285715
2014-03-08,100.0963775,99.89766297142857
2014-03-09,100.0857968,99.8728342
2014-03-10,100.03289324285714,99.82317665428572
2014-03-11,99.97998968571429,99.77351910857142
2014-03-12,99.92708612857143,99.72386156285714
2014-03-13,99.87418257142856,99.67420401714286
2014-03-14,99.82127901428571,99.62454647142857
2014-03-15,99.76837545714285,99.57488892571428
2014-03-16,99.7154719,99.52523138
2014-03-17,99.66609525285715,99.50995213428571
2014-03-18,99.61671860571428,99.49467288857143
2014-03-19,99.56734195857143,99.47939364285715
2014-03-20,99.51796531142857,99.46411439714285
2014-03-21,99.46858866428572,99.44883515142857
2014-03-22,99.41921201714285,99.43355590571429
2014-03-23,99.36983537,99.41827666
2014-03-24,99.39452369285715,99.42973609428572
2014-03-25,99.4192120157143,99.44119552857143
2014-03-26,99.44390033857144,99.45265496285714
2014-03-27,99.46858866142857,99.46411439714286
2014-03-28,99.49327698428571,99.47557383142858
2014-03-29,99.51796530714286,99.48703326571429
2014-03-30,99.54265363,99.4984927
2014-03-31,99.58497647142858,99.52332147285715
2014-04-01,99.62729931285715,99.54815024571428
2014-04-02,99.66962215428572,99.57297901857143
2014-04-03,99.71194499571429,99.59780779142856
2014-04-04,99.75426783714286,99.62263656428571
2014-04-05,99.79659067857143,99.64746533714285
2014-04-06,99.83891352,99.67229411
2014-04-07,99.76132164428572,99.62263656428571
2014-04-08,99.68372976857144,99.57297901857143
2014-04-09,99.60613789285715,99.52332147285715
2014-04-10,99.52854601714286,99.47366392714285
2014-04-11,99.45095414142857,99.42400638142857
2014-04-12,99.37336226571429,99.37434883571429
2014-04-13,99.29577039,99.32469129
2014-04-14,99.27813587285715,99.30750214
2014-04-15,99.26050135571428,99.29031299
2014-04-16,99.24286683857143,99.27312384
2014-04-17,99.22523232142856,99.25593469
2014-04-18,99.20759780428571,99.23874554
2014-04-19,99.18996328714285,99.22155639
2014-04-20,99.17232877,99.20436724
2014-04-21,99.21465161142856,99.22537620142857
2014-04-22,99.25697445285714,99.24638516285714
2014-04-23,99.29929729428571,99.26739412428572
2014-04-24,99.34162013571428,99.28840308571428
2014-04-25,99.38394297714285,99.30941204714286
2014-04-26,99.42626581857142,99.33042100857142
2014-04-27,99.46858866,99.35142997
2014-04-28,99.44037343285714,99.34570025285714
2014-04-29,99.41215820571428,99.33997053571429
2014-04-30,99.38394297857143,99.33424081857143
2014-05-01,99.35572775142857,99.32851110142857
2014-05-02,99.32751252428572,99.32278138428572
2014-05-03,99.29929729714286,99.31705166714286
2014-05-04,99.27108207,99.31132195
2014-05-05,99.27460897285715,99.32087147857143
2014-05-06,99.27813587571428,99.33042100714286
2014-05-07,99.28166277857143,99.33997053571429
2014-05-08,99.28518968142858,99.34952006428573
2014-05-09,99.28871658428572,99.35906959285715
2014-05-10,99.29224348714285,99.36861912142858
2014-05-11,99.29577039,99.37816865
