date_hour,Open,High,Low,Close,Close_Rt
2019-04-27,0.00543000,0.00586000,0.00516000,0.00521000,-4.503575290987715
2019-04-28,0.00521000,0.00527000,0.00434000,0.00442000,-16.444015967566877
2019-04-29,0.00442000,0.00456000,0.00343000,0.00347000,-24.198510213083896
2019-04-30,0.00346000,0.00516000,0.00346000,0.00442000,24.198510213083903
2019-05-01,0.00442000,0.00464000,0.00402000,0.00432000,-2.2884293833587845
2019-05-02,0.00432000,0.00468000,0.00410000,0.00419000,-3.0554668321972547
2019-05-03,0.00419000,0.00440000,0.00394000,0.00423000,0.9501259124140216
2019-05-04,0.00423000,0.00425000,0.00381000,0.00397000,-6.343589835908777
2019-05-05,0.00396000,0.00406000,0.00359000,0.00372000,-6.504242641404372
2019-05-06,0.00371000,0.00392000,0.00350000,0.00373000,0.26845653706689826
2019-05-07,0.00374000,0.00385000,0.00333000,0.00336000,-10.446725968061125
2019-05-08,0.00335000,0.00348000,0.00328000,0.00333000,-0.8968669982760376
2019-05-09,0.00336000,0.00341000,0.00303000,0.00314000,-5.8749504072190515
2019-05-10,0.00313000,0.00388000,0.00312000,0.00378000,18.55012097113343
2019-05-11,0.00379000,0.00505000,0.00371000,0.00460000,19.633229386355303
2019-05-12,0.00462000,0.00572000,0.00444000,0.00530000,14.165051706302684
2019-05-13,0.00529000,0.00920000,0.00516000,0.00868000,49.33147081141827
2019-05-14,0.00864000,0.01120000,0.00718000,0.00780000,-10.689779497671289
2019-05-15,0.00777000,0.01000000,0.00705000,0.00956000,20.346399336776393
2019-05-16,0.00957000,0.01205000,0.00826000,0.01087000,12.841897406980804
2019-05-17,0.01086000,0.01507000,0.00921000,0.01455000,29.15842924843835
2019-05-18,0.01456000,0.01489000,0.01205000,0.01235000,-16.393493054351534
2019-05-19,0.01235000,0.02069000,0.01226000,0.02018000,49.10359518514766
2019-05-20,0.02016000,0.03500000,0.01833000,0.02950000,37.969824842031116
2019-05-21,0.02937000,0.04500000,0.02438000,0.02953000,0.10164324100572544
2019-05-22,0.02950000,0.03170000,0.02050000,0.02209000,-29.028167832380564
2019-05-23,0.02215000,0.03401000,0.02143000,0.02739000,21.50529658429611
2019-05-24,0.02736000,0.02870000,0.02265000,0.02529000,-7.976892259311305
2019-05-25,0.02527000,0.02835000,0.02302000,0.02475000,-2.1583571667174404
2019-05-26,0.02482000,0.02725000,0.02305000,0.02419000,-2.2886164392763457
2019-05-27,0.02417000,0.02478000,0.02076000,0.02235000,-7.911300356235816
2019-05-28,0.02232000,0.02540000,0.02102000,0.02380000,6.285925961785126
2019-05-29,0.02379000,0.02487000,0.02207000,0.02212000,-7.320340402329505
2019-05-30,0.02213000,0.02330000,0.01824000,0.01972000,-11.48488274796446
2019-05-31,0.01972000,0.02299000,0.01939000,0.02216000,11.665551270459352
2019-06-01,0.02216000,0.02289000,0.02067000,0.02104000,-5.186347400957389
2019-06-02,0.02107000,0.02221000,0.01961000,0.02012000,-4.471104263797064
2019-06-03,0.02012000,0.02099000,0.01873000,0.01911000,-5.150258697935685
2019-06-04,0.01911000,0.02198000,0.01780000,0.02139000,11.27117648421327
2019-06-05,0.02140000,0.02361000,0.01954000,0.02285000,6.602759424589946
