,BTCUSDT,ETHUSDT,BNBUSDT,LTCUSDT,WUI,GPR
2018-01-31,-28.789303502031803,42.68876311994171,28.23719847899893,-30.31648382029717,21420.12,92.42678833007812
2018-02-28,0.4042338413782558,-27.602386925180195,-7.901492960077762,20.04780612436642,17493.08,64.49137115478516
2018-03-31,-39.975794540627255,-77.31976992384065,5.557450491384591,-55.355325509026756,12197.86,111.96229553222656
2018-04-30,28.921146815163983,53.22933713623904,25.977151295754076,24.568802124225638,12920.08,123.26347351074219
2018-05-31,-21.128975323818334,-14.919611944945643,-0.9050469956970927,-22.69081265906599,19883.07,125.66661834716797
2018-06-30,-15.81571309300129,-24.094967862874544,3.359140968991377,-37.42860751933585,25859.36,103.96858978271484
2018-07-31,19.048394289522964,-4.936069840539646,-5.949443763606862,-3.299886963179191,22117.7,110.02842712402344
2018-08-31,-9.77188691339012,-42.91220372233014,-23.036226746800157,-23.773674423855383,30926.84,112.74168395996094
2018-09-30,-5.642297177859041,-18.903177097707367,-9.267305370504845,-1.3468763445359613,27915.26,75.05390930175781
2018-10-31,-3.9184918503141,-15.883379013431274,-5.504546228464595,-20.368855035046064,22779.45,92.0164794921875
2018-11-30,-45.533103514479734,-55.81199013438398,-61.70807537997742,-43.834506116941036,18793.39,80.40758514404297
2018-12-31,-8.745507484497443,14.479933297953684,17.792939030919072,-7.441848294646674,26231.1,90.607666015625
2019-01-31,-7.536141382545238,-21.104510506640178,1.7663117038307512,4.926783315391447,36382.28,87.42410278320312
2019-02-28,10.484234176787522,24.02086846945911,50.2226052252256,37.30006771730539,51178.63,96.80016326904297
2019-03-31,7.335270018010613,4.366116993872839,53.43511884759779,28.21857411476685,35809.01,82.32829284667969
2019-04-30,25.96756228445527,13.509510078598616,22.84710011258918,20.60673626343055,27627.57,79.25344848632812
2019-05-31,47.48903599412194,50.40673750217688,40.02349682836048,43.30677097750561,57517.98,106.4719009399414
2019-06-30,23.802698144790796,8.853441714727719,-2.376104476132567,7.27670086421604,41085.63,106.58845520019531
2019-07-31,-7.393704816600903,-29.272837892825788,-14.605623193504941,-22.152214844582062,22822.22,93.52125549316406
2019-08-31,-5.014880301189217,-24.142846817424786,-27.58413403146588,-43.00665948384727,33126.3,103.4044189453125
2019-09-30,-14.548668562908432,5.267661180277241,-28.51781350318459,-13.74529662777042,32220.86,90.36798858642578
2019-10-31,9.77830269687674,0.7327250918556799,22.900073061584504,4.025744869665653,39475.35,97.83673095703125
2019-11-30,-19.22805652147617,-18.526803854219,-23.68050730549261,-21.082481749926306,39040.36,73.07838439941406
2019-12-31,-4.705450726717356,-15.867522488439942,-13.584169707743902,-13.374323459120834,52683.16,74.27989196777344
2020-01-31,26.22670799790211,33.18493479013134,28.638348466569834,49.86452052091197,42258.74,138.4209442138672
2020-02-29,-9.284542642879664,18.796333372421433,5.15177496055712,-15.820299703220625,39762.47,75.95555877685547
2020-03-31,-28.491204869965276,-49.26229816334131,-42.71414085107654,-39.569388096931846,56223.62,81.54003143310547
2020-04-30,29.61571733531187,44.00227970337998,30.118543965287607,17.017887225397494,21438.99,69.33940124511719
2020-05-31,9.174657128784578,11.661776071388337,0.8071524003604712,-1.5662708704947947,26490.73,68.50721740722656
2020-06-30,-3.3329926408611934,-2.6118684005968302,-10.527210706445333,-10.241715494179575,28737.92,71.22785949707031
2020-07-31,21.543413584853223,42.86285581218207,29.49570574398222,34.497204593144595,26888.29,66.47328186035156
2020-08-31,2.7328253637954454,22.516846828360496,11.362335842289264,4.687964631370186,20430.03,65.46604919433594
2020-09-30,-7.788793013287387,-18.69288483334229,23.451734129485903,-27.5716303662839,26409.8,80.37738037109375
2020-10-31,24.664001658375202,7.139667209094785,-2.630518949809066,18.64939245474829,28194.52,76.08316802978516
2020-11-30,35.63927636031756,46.728944874815845,9.96735999908778,45.30124624556387,25062.17,70.06746673583984
2020-12-31,38.42499389905774,17.74827896077414,17.07873175981281,34.86220701888588,14886.35,64.06729125976562
2021-01-31,13.466226721180114,57.79264808355148,17.107510919402372,4.062553371274929,11956.53,78.42060852050781
2021-02-28,31.035144614372324,7.810743003129798,155.64815059236335,24.467870386550768,9050.271,74.35603332519531
2021-03-31,26.345766758104066,30.191776716747366,36.35342622506662,17.44018062606541,13602.12,79.94161987304688
2021-04-30,-1.7972427198806429,36.77235778070072,72.23251928683946,32.091868526017215,14889.97,90.57736206054688
2021-05-31,-43.7403640349384,-2.4193624417126025,-56.65820987359187,-36.63160350266814,15392.93,94.0195541381836
2021-06-30,-6.112127152204029,-17.324805174500394,-15.132916569080528,-26.466514855297756,21543.41,75.57621002197266
2021-07-31,16.814029501033993,10.635532756561265,9.020559395894368,0.07622215661967842,19371.39,60.60164260864258
2021-08-31,12.751865184724737,30.369276141707026,33.33901190583207,17.22038179642714,17169.7,90.60826873779297
2021-09-30,-7.210800243706488,-13.351139649044114,-17.995316296429632,-11.21864807282261,23904.0,81.63436126708984
2021-10-31,33.55926859212923,35.68205703884852,30.29202186393717,22.45776171358857,10477.78,80.95104217529297
2021-11-30,-7.359305726225089,7.697685030853275,17.11075609060894,7.960167565147285,14556.52,89.13878631591797
2021-12-31,-20.883734185419048,-23.072525148419107,-19.659156548177652,-35.09167706390484,28225.75,108.5250473022461
2022-01-31,-18.354804993228345,-31.34847708965724,-31.209444794670286,-28.973475876952325,25576.78,141.1321563720703
2022-02-28,11.511600914455592,8.350590618528269,5.534598483817386,3.7638851499934907,25212.72,219.0926055908203
2022-03-31,5.302541249622928,11.639477648030308,8.082019177427755,8.51039594940054,27256.75,325.42376708984375
