"","TCI"
"2019-09-30",59.1928178946353
"2019-10-31",88.4971051350285
"2019-11-30",74.4555684324761
"2019-12-31",74.7847813753166
"2020-01-31",76.7374791667106
"2020-02-29",76.8131660107778
"2020-03-31",77.0128237530587
"2020-04-30",77.1466262652945
"2020-05-31",76.9528708942827
"2020-06-30",76.9825530531566
"2020-07-31",76.948163072161
"2020-08-31",76.7415747626117
"2020-09-30",76.6129960577079
"2020-10-31",76.4993926484898
"2020-11-30",76.3378448984335
"2020-12-31",75.0086315986208
"2021-01-31",74.4630340471353
"2021-02-28",73.4940100460857
"2021-03-31",71.1054290357549
"2021-04-30",71.5091906928137
"2021-05-31",71.486113609891
"2021-06-30",70.2808443740111
"2021-07-31",69.5075186233833
"2021-08-31",68.9968688297283
"2021-09-30",69.4979209956874
"2021-10-31",69.5398934499666
"2021-11-30",69.2823971829078
"2021-12-31",69.303381173319
"2022-01-31",68.1328015056202
"2022-02-28",69.3126081344548
"2022-03-31",67.3280770192738
"2022-04-30",68.1167132286689
"2022-05-31",67.4341248768783
"2022-06-30",67.1011729249247
"2022-07-31",66.7167137863684
"2022-08-31",66.5715653387986
"2022-09-30",66.3145709655356
"2022-10-31",65.8463251792865
"2022-11-30",65.500437129263
"2022-12-31",64.4924177486169
