"","TCI"
"2019-07-07",68.2192774872876
"2019-07-08",69.8475343231976
"2019-07-09",70.0539355123182
"2019-07-10",72.6119894356879
"2019-07-11",72.925755570928
"2019-07-12",74.8068268497261
"2019-07-13",71.5703960613057
"2019-07-14",74.7895357012049
"2019-07-15",74.3429903731524
"2019-07-16",75.3217491896013
"2019-07-17",77.0195084027724
"2019-07-18",74.6240599264534
"2019-07-19",73.8627970165905
"2019-07-20",73.4107883842008
"2019-07-21",73.2781199142458
"2019-07-22",73.2383084474047
"2019-07-23",73.3199422173258
"2019-07-24",73.170482573172
"2019-07-25",72.7851972926143
"2019-07-26",72.6632709722505
"2019-07-27",72.7506128544501
"2019-07-28",72.7288290410939
"2019-07-29",72.6843932297961
"2019-07-30",72.4909969704504
"2019-07-31",72.3116746949693
"2019-08-01",72.1838820436646
"2019-08-02",71.8862689692735
"2019-08-03",71.3757648018687
"2019-08-04",71.294180751329
"2019-08-05",71.3921864773198
"2019-08-06",70.454294444368
"2019-08-07",69.3775483681214
"2019-08-08",68.4841564992593
"2019-08-09",68.5436418101452
"2019-08-10",68.0194169128415
"2019-08-11",67.6496946812265
"2019-08-12",67.3178360936411
"2019-08-13",67.166437531012
"2019-08-14",67.8732553173999
"2019-08-15",68.3496675976458
"2019-08-16",68.1411084468465
"2019-08-17",67.9989652968098
"2019-08-18",67.9406219514704
"2019-08-19",67.2895607817053
"2019-08-20",67.5670258646532
"2019-08-21",67.5026095085274
"2019-08-22",67.7869228434973
"2019-08-23",67.2680328407308
"2019-08-24",67.2018449358631
"2019-08-25",67.0986979754054
"2019-08-26",67.1757799909167
"2019-08-27",67.1315672283406
"2019-08-28",67.8543961942853
"2019-08-29",67.6500405264763
"2019-08-30",67.8624823733442
"2019-08-31",67.5273448894709
"2019-09-01",67.3016152587768
"2019-09-02",67.5394911611442
"2019-09-03",67.324975993705
"2019-09-04",67.6569157158682
"2019-09-05",67.3727325935799
"2019-09-06",67.1230049766756
"2019-09-07",67.2065108134369
"2019-09-08",67.1253863003547
"2019-09-09",66.9726419060489
"2019-09-10",66.8175308048062
"2019-09-11",66.6158060685832
"2019-09-12",66.5576469141255
"2019-09-13",66.3295511177698
"2019-09-14",66.2235716073175
"2019-09-15",66.2036122257196
"2019-09-16",66.0519456309747
"2019-09-17",65.5623034422344
"2019-09-18",64.7714992531857
"2019-09-19",64.9379980651745
"2019-09-20",64.9039570313603
"2019-09-21",64.8106518339357
"2019-09-22",64.4412037266008
"2019-09-23",64.3076240127395
"2019-09-24",68.703150119211
"2019-09-25",71.8029588062464
"2019-09-26",71.4945777619104
"2019-09-27",71.4557081564653
"2019-09-28",71.3922676214655
"2019-09-29",71.4722085905211
"2019-09-30",71.6508884699889
"2019-10-01",71.5028357911205
"2019-10-02",71.3679683222565
"2019-10-03",71.3725850624053
"2019-10-04",71.2561313697205
"2019-10-05",71.2296655316743
"2019-10-06",71.2557113415489
"2019-10-07",72.0038134212262
"2019-10-08",71.3511705862624
"2019-10-09",71.1127193509317
"2019-10-10",71.2918105937227
"2019-10-11",70.9273630259343
"2019-10-12",70.7384497708123
"2019-10-13",70.5849407515232
"2019-10-14",70.0834510032708
"2019-10-15",70.3501810902896
"2019-10-16",69.9146874238423
"2019-10-17",70.4771917437461
"2019-10-18",70.6835118958653
"2019-10-19",70.6085405848031
"2019-10-20",70.4876831468051
"2019-10-21",70.2548326967871
"2019-10-22",70.2765167301714
"2019-10-23",70.5333548364443
"2019-10-24",71.0474324879505
"2019-10-25",72.5783327768135
"2019-10-26",73.0215153958947
"2019-10-27",72.7805941721998
"2019-10-28",72.6601656857896
"2019-10-29",72.3352958636881
"2019-10-30",72.3659779331247
"2019-10-31",72.3021225693004
"2019-11-01",72.2489029338569
"2019-11-02",72.1302668569714
"2019-11-03",72.0491437369112
"2019-11-04",72.0180621455113
"2019-11-05",71.9063939776795
"2019-11-06",71.7927657543404
"2019-11-07",70.8013023939694
"2019-11-08",70.8129561591783
"2019-11-09",71.0580979147594
"2019-11-10",71.0033109159962
"2019-11-11",71.1076205475416
"2019-11-12",70.8053807209224
"2019-11-13",70.699453947649
"2019-11-14",70.6222269748721
"2019-11-15",70.2823557315626
"2019-11-16",70.1185043414689
"2019-11-17",69.9598406719028
"2019-11-18",70.3542916877183
"2019-11-19",70.2188097436873
"2019-11-20",69.8304337488304
"2019-11-21",69.8975972640382
"2019-11-22",69.7324332257243
"2019-11-23",71.5006431014307
"2019-11-24",72.6509676616852
"2019-11-25",73.7142940763767
"2019-11-26",73.2770164619314
"2019-11-27",73.1029340415293
"2019-11-28",73.2190669435926
"2019-11-29",73.4130065813226
"2019-11-30",72.1546206533306
"2019-12-01",71.6659115161963
"2019-12-02",71.9697292984196
"2019-12-03",71.8645848458142
"2019-12-04",71.6701329822906
"2019-12-05",71.4360647980812
"2019-12-06",71.262263321605
"2019-12-07",71.6325962183709
"2019-12-08",71.4677521793005
"2019-12-09",71.3356969750113
"2019-12-10",69.6974951185377
"2019-12-11",69.1912300376369
"2019-12-12",68.9844897284515
"2019-12-13",68.9746918249573
"2019-12-14",69.2801182802937
"2019-12-15",69.3618128444684
"2019-12-16",69.5334809183921
"2019-12-17",69.7806014750236
"2019-12-18",71.9274018526415
"2019-12-19",71.5742335975843
"2019-12-20",71.2167917222564
"2019-12-21",71.1135672233797
"2019-12-22",69.8852800458193
"2019-12-23",71.6474481733853
"2019-12-24",71.3692792966507
"2019-12-25",71.1335386316076
"2019-12-26",71.0736198714308
"2019-12-27",70.7939603775744
"2019-12-28",70.6588220709468
