"","TCI"
"2019-07-21",66.7041593072168
"2019-07-28",67.2138483820218
"2019-08-04",67.306045707479
"2019-08-11",66.7254556020826
"2019-08-18",67.0885496066955
"2019-08-25",66.8323068322303
"2019-09-01",66.7945248493298
"2019-09-08",67.3388310670565
"2019-09-15",67.2023503843534
"2019-09-22",67.0949783361881
"2019-09-29",68.9224383973431
"2019-10-06",70.4087058078928
"2019-10-13",70.7193035108793
"2019-10-20",70.3012639672653
"2019-10-27",69.8058395926956
"2019-11-03",69.4929976098371
"2019-11-10",69.2953475775718
"2019-11-17",69.2739621863401
"2019-11-24",69.0831432432819
"2019-12-01",71.5811259962786
"2019-12-08",71.2721300093807
"2019-12-15",69.5732880353892
"2019-12-22",68.8538801211087
"2019-12-29",68.8620852176504
"2020-01-05",68.8281513527901
"2020-01-12",68.9289431346545
"2020-01-19",68.8574356527123
"2020-01-26",69.1798016599868
"2020-02-02",69.4696856804395
"2020-02-09",68.754012070215
"2020-02-16",69.1868579182078
"2020-02-23",68.820806294994
"2020-03-01",70.0921463407966
"2020-03-08",70.4495661568379
"2020-03-15",73.2241817818437
"2020-03-22",75.3506658274485
"2020-03-29",75.5685329978552
"2020-04-05",75.603095506352
"2020-04-12",75.5349266059981
"2020-04-19",75.4758350652516
"2020-04-26",75.2196888498706
"2020-05-03",74.7117834229741
"2020-05-10",75.2754024998621
"2020-05-17",75.3919935589843
"2020-05-24",75.3572618354501
"2020-05-31",75.1461999698238
"2020-06-07",75.0794574610629
"2020-06-14",74.9197924313033
"2020-06-21",74.8411020808894
"2020-06-28",74.806414256952
"2020-07-05",74.7250869182033
"2020-07-12",74.5590400613395
"2020-07-19",74.4763323568343
"2020-07-26",73.4341121759706
"2020-08-02",72.0888296621251
"2020-08-09",70.7162346458568
"2020-08-16",70.3380561868824
"2020-08-23",70.9317289297077
"2020-08-30",70.6184544063324
"2020-09-06",71.545747651054
"2020-09-13",72.5892288611033
"2020-09-20",70.5099030622409
"2020-09-27",69.3638492298101
"2020-10-04",68.9875879585917
"2020-10-11",68.7608593645428
"2020-10-18",68.449607721647
"2020-10-25",67.8103764712601
"2020-11-01",68.24034679866
"2020-11-08",68.5232536834221
"2020-11-15",68.2941624222199
"2020-11-22",69.0227661909557
"2020-11-29",69.5393597601943
"2020-12-06",69.4906556265446
"2020-12-13",69.3297357280073
"2020-12-20",70.4253524705068
"2020-12-27",68.0212518261059
"2021-01-03",67.3653370410651
"2021-01-10",64.7261577906394
"2021-01-17",66.5154017183477
"2021-01-24",66.47943327255
"2021-01-31",63.3955399316558
"2021-02-07",59.983026082163
"2021-02-14",55.2696725550244
"2021-02-21",54.4408986984652
"2021-02-28",57.7934459773991
"2021-03-07",54.050507275175
"2021-03-14",54.2046892860615
"2021-03-21",53.2451365026148
"2021-03-28",53.3402730826699
"2021-04-04",53.4293099571966
"2021-04-11",53.2821506871631
"2021-04-18",52.4056548001336
"2021-04-25",54.1617645234287
"2021-05-02",57.0454539804942
"2021-05-09",55.584557735866
"2021-05-16",55.0373740752779
"2021-05-23",62.6364601331757
"2021-05-30",65.0014328006973
"2021-06-06",64.545421802912
"2021-06-13",64.8851759000002
"2021-06-20",64.7942756897276
"2021-06-27",64.7637551041562
"2021-07-04",64.9835412701042
"2021-07-11",64.9079671388293
"2021-07-18",64.996735488391
"2021-07-25",65.4167124895808
"2021-08-01",65.628152652795
"2021-08-08",65.5773262015567
"2021-08-15",65.546727528016
"2021-08-22",65.356860280333
"2021-08-29",65.9528008476534
"2021-09-05",65.6582584186716
"2021-09-12",66.6610772850327
"2021-09-19",66.5921280566794
"2021-09-26",66.4777021448137
"2021-10-03",67.2047589325802
"2021-10-10",66.8339924614716
"2021-10-17",66.6722944828798
"2021-10-24",66.4572679733728
"2021-10-31",66.27401581787
"2021-11-07",65.8632384327303
"2021-11-14",65.1964187034686
"2021-11-21",65.099354115861
"2021-11-28",64.7461931493159
"2021-12-05",64.3780367075157
"2021-12-12",64.3959488129955
"2021-12-19",64.32219656364
"2021-12-26",64.7821853827792
"2022-01-02",65.1616533964401
"2022-01-09",66.2123382221869
"2022-01-16",67.860195461822
"2022-01-23",69.7053356496319
"2022-01-30",69.6827431589741
"2022-02-06",70.9120242824659
"2022-02-13",70.7988089436589
"2022-02-20",70.9834794855115
"2022-02-27",70.8168295097422
"2022-03-06",70.8365218549389
"2022-03-13",70.7600607212704
"2022-03-20",70.9597311524362
"2022-03-27",70.9105738098785
"2022-04-03",71.1159932092983
"2022-04-10",71.773246481023
"2022-04-17",71.6072031480794
"2022-04-24",71.4765300415865
"2022-05-01",71.3317948571087
"2022-05-08",71.0497792652833
"2022-05-15",71.2112651354216
"2022-05-22",71.4115804554416
"2022-05-29",71.3643739159537
"2022-06-05",71.2997971184989
"2022-06-12",72.1291840082263
"2022-06-19",70.3351943035955
"2022-06-26",72.0562997206083
"2022-07-03",72.1129621675663
"2022-07-10",72.0129980937176
"2022-07-17",71.7966047518523
"2022-07-24",71.4849416841207
"2022-07-31",71.3236806803363
"2022-08-07",71.2516215013005
"2022-08-14",70.8564227973275
"2022-08-21",71.9288509942923
"2022-08-28",71.7977584805003
"2022-09-04",72.6960378969506
"2022-09-11",72.3515399088952
"2022-09-18",72.7016368047804
"2022-09-25",72.604494789269
"2022-10-02",71.1065496207673
"2022-10-09",70.8265557649142
"2022-10-16",70.7870341716239
"2022-10-23",70.7520002833113
"2022-10-30",69.7375349818727
"2022-11-06",68.0342012506589
"2022-11-13",72.8232148155087
"2022-11-20",72.5249841867151
"2022-11-27",73.8994153517535
"2022-12-04",73.50693237361
"2022-12-11",73.6739367698747
"2022-12-18",73.8490480799812
"2022-12-25",73.8733728579495
"2023-01-01",73.7415320891171
