"","Crypto","UCRY","FROM"
"Crypto","96.69"," 3.31"," 3.31"
"UCRY","23.99","76.01","23.99"
"TO","23.99"," 3.31","27.30"
"Inc.Own","120.68"," 79.32","cTCI/TCI"
"NET"," 20.68","-20.68","27.30/13.65"
"NPT","1.00","0.00",""
