,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,MATICUSDT,LTCUSDT,WUI,GPR
2019-08-31,-5.014880301189217,-24.142846817424786,-27.58413403146588,-21.613571582901184,-29.553179960631393,-15.299681337290153,3.9866631144156117,-43.00665948384727,33126.3,103.4044189453125
2019-09-30,-14.548668562908432,5.267661180277241,-28.51781350318459,-0.33847562806680237,-14.01644378525185,-3.235911541679305,-7.67911320370873,-13.74529662777042,32220.86,90.36798858642578
2019-10-31,9.77830269687674,0.7327250918556799,22.900073061584504,13.782846031898,5.941352805086745,8.462225898325382,22.13070035069082,4.025744869665653,39475.35,97.83673095703125
2019-11-30,-19.22805652147617,-18.526803854219,-23.68050730549261,-26.702675355778304,-2.3045883879992513,-12.015583769166259,75.37718023763802,-21.082481749926306,39040.36,73.07838439941406
2019-12-31,-4.705450726717356,-15.867522488439942,-13.584169707743902,-15.588907095910521,-20.489587883249374,-12.946303370083898,-73.9897903313176,-13.374323459120834,52683.16,74.27989196777344
2020-01-31,26.22670799790211,33.18493479013134,28.638348466569834,21.59553003050697,49.517873298433216,16.621707423193122,26.364642312907744,49.86452052091197,42258.74,138.4209442138672
2020-02-29,-9.284542642879664,18.796333372421433,5.15177496055712,-4.5013790747795985,-13.485747689257938,-7.070374103481041,11.561417345840404,-15.820299703220625,39762.47,75.95555877685547
2020-03-31,-28.491204869965276,-49.26229816334131,-42.71414085107654,-27.702210243848924,-43.61870068664661,-20.53259820298723,-60.80400141055532,-39.569388096931846,56223.62,81.54003143310547
2020-04-30,29.61571733531187,44.00227970337998,30.118543965287607,19.716503191038655,44.50646808984834,29.90632113247651,34.114939208793054,17.017887225397494,21438.99,69.33940124511719
2020-05-31,9.174657128784578,11.661776071388337,0.8071524003604712,-4.302258453462891,44.15621528997665,5.084313142712623,28.31351337962377,-1.5662708704947947,26490.73,68.50721740722656
2020-06-30,-3.3329926408611934,-2.6118684005968302,-10.527210706445333,-14.382302999613298,11.600729065620058,-9.904777037913336,-7.764486864287168,-10.241715494179575,28737.92,71.22785949707031
2020-07-31,21.543413584853223,42.86285581218207,29.49570574398222,39.16628081560604,51.41698268610462,32.97023997950035,6.635086202411265,34.497204593144595,26888.29,66.47328186035156
2020-08-31,2.7328253637954454,22.516846828360496,11.362335842289264,8.055561410011336,-12.45340475100476,-0.5193362938954909,26.97443717651135,4.687964631370186,20430.03,65.46604919433594
2020-09-30,-7.788793013287387,-18.69288483334229,23.451734129485903,-15.114967428099643,-18.96773619484715,-19.654627971210115,-27.51912780272454,-27.5716303662839,26409.8,80.37738037109375
2020-10-31,24.664001658375202,7.139667209094785,-2.630518949809066,-0.8433960128359641,-8.607904285962773,-2.6301116165102094,-38.23966004962129,18.64939245474829,28194.52,76.08316802978516
2020-11-30,35.63927636031756,46.728944874815845,9.96735999908778,101.92334404753886,61.512751476227955,32.74593384674171,35.521827944226814,45.30124624556387,25062.17,70.06746673583984
2020-12-31,38.42499389905774,17.74827896077414,17.07873175981281,-110.67759695463432,5.264671430237443,27.131036830323218,-10.876767397944063,34.86220701888588,14886.35,64.06729125976562
2021-01-31,13.466226721180114,57.79264808355148,17.107510919402372,81.29369954541673,64.24457944555012,206.95661400453517,77.89490664555268,4.062553371274929,11956.53,78.42060852050781
2021-02-28,31.035144614372324,7.810743003129798,155.64815059236335,-17.485560673497023,133.65113184228622,26.357351224258057,180.4898218177738,24.467870386550768,9050.271,74.35603332519531
2021-03-31,26.345766758104066,30.191776716747366,36.35342622506662,31.547696150581896,-9.60184936772047,11.022240615994471,43.535595602501665,17.44018062606541,13602.12,79.94161987304688
2021-04-30,-1.7972427198806429,36.77235778070072,72.23251928683946,103.16881053542524,12.691509548748492,183.67331537234415,82.41437616511335,32.091868526017215,14889.97,90.57736206054688
2021-05-31,-43.7403640349384,-2.4193624417126025,-56.65820987359187,-42.916762431574575,24.986002599330053,-3.5869492478872367,82.42583851744895,-36.63160350266814,15392.93,94.0195541381836
2021-06-30,-6.112127152204029,-17.324805174500394,-15.132916569080528,-38.7800926106546,-22.64154612360205,-24.859761877140198,-47.06515310182693,-26.466514855297756,21543.41,75.57621002197266
2021-07-31,16.814029501033993,10.635532756561265,9.020559395894368,5.468552378888415,-4.881542977410249,-20.112590344315443,-7.672424102989899,0.07622215661967842,19371.39,60.60164260864258
2021-08-31,12.751865184724737,30.369276141707026,33.33901190583207,46.32786543380617,74.0662407897195,29.212679116315666,21.04438464038244,17.22038179642714,17169.7,90.60826873779297
2021-09-30,-7.210800243706488,-13.351139649044114,-17.995316296429632,-21.807460504228988,-26.870888830654742,-30.888085550935408,-16.923392203858697,-11.21864807282261,23904.0,81.63436126708984
2021-10-31,33.55926859212923,35.68205703884852,30.29202186393717,15.470499110970065,-7.407160256596726,31.568969743868465,54.17262231846477,22.45776171358857,10477.78,80.95104217529297
2021-11-30,-7.359305726225089,7.697685030853275,17.11075609060894,-10.858080826685363,-23.415095798681836,-26.55478982845144,-8.275396102891238,7.960167565147285,14556.52,89.13878631591797
2021-12-31,-20.883734185419048,-23.072525148419107,-19.659156548177652,-18.49896426721398,-17.233299891044876,-23.168011721609272,34.64265294473644,-35.09167706390484,28225.75,108.5250473022461
2022-01-31,-18.354804993228345,-31.34847708965724,-31.209444794670286,-29.554707760218076,-21.875716114019298,-18.526187058535047,-43.05391325710129,-28.973475876952325,25576.78,141.1321563720703
2022-02-28,11.511600914455592,8.350590618528269,5.534598483817386,23.492998860057067,-8.84829202112446,-5.8198239242987935,-1.6590242260196695,3.7638851499934907,25212.72,219.0926055908203
2022-03-31,5.302541249622928,11.639477648030308,8.082019177427755,4.24955836840213,17.064589919636926,3.3876582574942256,0.2475248788542974,8.51039594940054,27256.75,325.42376708984375
2022-04-30,-19.01166888735287,-18.5226265358081,-12.871338725852318,-33.218590344052764,-41.21482142347212,-8.064631727718341,-44.969215157692894,-25.640467527368095,41669.1,194.7902069091797
2022-05-31,-16.832387035876486,-33.94105417183447,-16.13808561485004,-32.6462620159609,-18.688462514548878,-39.4031506488098,-44.24789558556455,-33.688986034831,25064.35,144.66868591308594
2022-06-30,-46.66604027641524,-59.506474674725496,-37.93218384804356,-23.88580323698134,-30.961843593598775,-25.70009519048711,-32.13236069648647,-23.935613929203246,23022.65,134.8953857421875
