date,BTCUSDT,ETHUSDT,BNBUSDT,LTCUSDT,UCRY Policy Index,UCRY Price Index
2017-12-24,-33.43546522057525,-7.273055847509588,-14.659470083830472,-16.930452766406248,102.085551,101.8648657
2017-12-31,1.5899595531011117,10.927684896156283,49.85912736709364,-16.151256696581452,101.4436546,101.2365068
2018-01-07,16.333262627668464,42.53573137158385,77.92495865300786,18.448738886204495,101.8633561,101.5440016
2018-01-14,-18.10865325723219,18.179608240764555,9.534440335746634,-13.891474920904562,101.3449013,101.4771549
2018-01-21,-15.588304039879002,-25.004256801406683,-36.964256085132305,-20.796798137108166,101.5917845,101.4905242
2018-01-28,2.989977089046577,17.687299387158117,-2.5765293498833786,3.4017237032673444,101.1967713,101.4370469
2018-02-04,-37.2572107812634,-41.882919555933476,-50.03822303277596,-29.083841575336027,101.6905378,101.6108483
2018-02-11,-1.488516709288981,-1.784985066588032,3.7936778699958444,0.8057733951280013,101.5177196,101.5707403
2018-02-18,25.28164360474395,11.875634121729515,20.64591378026572,36.52835882352099,100.7276932,100.9423813
2018-02-25,-7.949037741800208,-7.972534128143652,-13.141283991523608,1.909941240017366,100.6042516,100.5680398
2018-03-04,18.29296443773017,2.982918702566367,10.776510893577857,-2.1301592041464215,101.3695896,101.3167228
2018-03-11,-18.883127924826567,-18.421567174627267,-23.07488104168522,-12.489112216618862,100.9498881,101.0627054
2018-03-18,-15.190657716137125,-29.443297674904812,8.091315600936118,-20.359209768301024,100.6042516,100.6883639
2018-03-25,3.363554120730308,-2.500271653355123,36.77899903166636,4.153574625353141,100.5301866,100.4744545
2018-04-01,-21.77141984976796,-32.45679667972401,-15.625198512276183,-33.25676141070582,99.8142252,100.1936983
2018-04-08,2.964425758838822,5.603663626299213,9.09286000755213,2.4195075812353615,100.6536282,100.5413012
2018-04-15,17.43818848863337,28.770704716488527,7.675585411751783,11.934144073200018,100.0117318,100.1268516
2018-04-22,5.041547055343678,15.103115455229185,-1.6169540021184288,10.000076445500236,99.6167186,100.0198969
2018-04-29,6.945329323988618,10.672047434443597,15.494618162806582,4.749458685417084,99.83891352,100.0733743
2018-05-06,2.516223265980463,13.953850013640768,-7.13907934874653,11.565264638082665,100.8017582,100.7418412
2018-05-13,-10.690304052460592,-8.567775828235359,-6.337828477571208,-17.787463451301644,100.1845501,100.4076078
2018-05-20,-1.7752863709510938,-1.7879859673227054,7.435126080930752,-3.2410896658226744,99.8142252,100.0733743
2018-05-27,-15.003402328782874,-22.756573658341956,-11.682525467158046,-17.084370981244597,100.0117318,100.0065276
2018-06-03,4.986933319153296,8.28330714230785,15.375165290351726,6.272628619904166,99.88829017,99.96641957
2018-06-10,-13.130978074501357,-16.74693545688895,-3.5980958496791255,-16.299308453657467,100.0117318,99.93968089
2018-06-17,-4.774111956174551,-5.282990938401994,15.74918579388612,-11.460673682856125,99.7154719,99.88620354
2018-06-24,-4.968852885024698,-8.98718023632113,-14.088856857472548,-16.670946503366785,100.1598617,100.140221
2018-07-01,3.5195544182444185,-0.5096479906484204,-0.329311037718372,-0.523953294466379,100.3820566,100.4209771
2018-07-08,5.438518854732578,7.388833796227379,-2.537133974201783,2.7997142189769,99.54265363,99.75251014
2018-07-15,-5.49831514001793,-7.903315793249413,-12.846623670638444,-4.579053231986868,99.6167186,99.88620354
2018-07-22,15.184698185096485,1.6952734464691268,-1.0812239402536725,4.566890001417825,100.3573683,100.260545
2018-07-29,10.469902053302997,1.933232624125193,13.548112539733555,1.9752539105175926,100.0364201,100.4744545
2018-08-05,-15.611481264578877,-13.184205828551383,-2.296735722201398,-11.675494178579475,100.6783165,100.4343464
2018-08-12,-10.748892382718497,-25.14961657616162,-14.491559555587768,-22.932802921369163,99.8142252,100.0332663
2018-08-19,2.6468282606166635,-5.98581409674619,-15.172140889477598,-2.820940964241003,99.86360184,100.0867436
2018-08-26,3.3768261537075794,-8.766132917724564,0.7565893440033589,-1.186129378041303,99.56734196,99.69903279
2018-09-02,8.604212632339856,7.4178281083375595,10.690203525946206,14.995569508984644,99.7154719,99.76587948
2018-09-09,-15.543859736936326,-41.12194206125847,-17.535457343919482,-19.023680532422155,99.96235514,100.2471757
2018-09-16,3.986005661351294,11.725517390984532,4.1073957030740695,3.6060952748979087,99.93766682,99.81935684
2018-09-23,3.072973199649377,10.481533368984566,3.4683614487392913,7.8428392830078115,99.51796531,99.75251014
2018-09-30,-1.2213519032194058,-4.843439924042088,-2.6936959255086648,-0.27734743286117136,99.91297849,100.0198969
2018-10-07,-0.17082235235220616,-2.9626633167406737,5.515318358257454,-4.819403409743226,100.0611084,99.91294221
2018-10-14,-4.260443932136345,-13.789978763610804,-9.878804917783043,-10.32103250228304,99.74016022,99.89957287
2018-10-21,3.879537824873527,5.182865686736892,3.5002497457178623,1.8829402096730425,99.7154719,99.65892477
2018-10-28,-1.5318295499131906,-1.2121948277563128,-2.1413615009740328,-2.9146650664638587,99.56734196,99.7391408
2018-11-04,-0.06288639502919607,3.4143810570328488,1.0061651846960966,4.744491557605167,99.86360184,99.97978891
2018-11-11,-0.5572207873730749,0.20251979134239456,-2.6616500981548845,-5.922907589726126,99.76484855,99.99315825
2018-11-18,-13.027348631975554,-17.191201191523202,-16.791494947162413,-18.871583934177753,100.2339267,100.3674997
2018-11-25,-32.62645341324751,-41.08716623522692,-42.4480115136071,-30.24189323988874,100.1598617,100.3407611
2018-12-02,1.8245180709128654,-1.7854580745306783,0.028365843932210328,7.138230835750097,100.8017582,100.6081479
