date,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,MATICUSDT,LTCUSDT,UCRY Policy Index,UCRY Price Index
2019-07-06,2.57140340067184,0.2848410985197587,0.0988557983288833,2.9906535056586048,1.4828575561335833,-10.05173780057624,-2.4030214685824647,-0.0338037694421405,99.68020286571428,99.68184363714286
2019-07-07,1.3215722867160122,5.542640421844609,1.0549033164392354,1.5759966262540392,2.863701893329146,1.0713829978299636,-0.5103498460030557,0.9840695082337616,99.51796531,99.55197006
2019-07-08,7.0434317387374605,2.3513707169902545,1.3702810180703386,1.0586622381017865,0.5006268278144222,-2.2786411212569,-5.552112335640441,2.838474391437493,99.58850337999999,99.60353751
2019-07-09,2.4600536605696157,-1.4562031855797843,-2.756213269080466,-1.7901906923551596,-2.874889310301683,-0.1012658314386269,-2.5564386705795634,-3.039546845241331,99.65904145,99.65510496
2019-07-10,-3.529847906198966,-6.112277814005458,-3.9535407180602418,-8.501329134858308,-8.092107525183554,-3.3078377018896647,-0.7425776696849427,-9.614078296222484,99.72957952,99.70667241
2019-07-11,-6.530583308211107,-7.388725124643414,-5.951284336374854,-9.507510205473398,-9.691358214860704,-4.063998980009613,-11.020314013361425,-5.046269122965044,99.80011759,99.75823986
2019-07-12,3.587640404803792,2.205335579564101,8.064471979234433,4.348187595035946,6.276219382635589,1.644245227007306,8.504458049745931,1.8091332526391448,99.87065566,99.80980731
2019-07-13,-3.474241578184946,-2.14579183175893,-1.2622923911902502,-3.3463783962693303,-3.8949739346718646,-0.2762687087309826,5.694607707303975,-3.720862470474583,99.94119373000001,99.86137476
2019-07-14,-10.987196578466428,-17.405934347540335,-9.816064741166572,-8.940702102559875,-11.907658776161757,-10.891204213190903,-14.964819585894256,-11.939276371234744,100.0117318,99.91294221
2019-07-15,6.327176945801062,1.0351375327362036,0.3577445996672489,2.987911434718946,-0.3551800774080311,5.134127952587694,-3.195159980660225,0.8551332025095426,100.0152587,99.9091224
2019-07-16,-13.821236084774272,-13.752080966557426,-13.37717857532298,-5.735584664997408,-13.02931886880964,-9.26632562000425,-13.911280246271785,-12.743635765190204,100.0187856,99.90530258999999
2019-07-17,2.390064107545857,5.825562610981518,9.757814763784284,4.917210098045451,6.065868234199208,2.914878291771565,8.72877345981317,12.211424729605543,100.0223125,99.90148278
2019-07-18,9.459980018040593,6.838234092327024,4.690508118262589,3.181012495331903,5.95875933976567,7.217057116197194,3.4357374824195235,11.744946140522227,100.02583940000001,99.89766297
2019-07-19,-1.1629243117208203,-2.239935964236601,0.1866640985993313,-0.4850201168970746,1.9826117504958345,-2.4408589530953795,-1.8525909607514528,-2.9391754114986077,100.0293663,99.89384316
2019-07-20,2.22127589719632,3.328220227485485,6.936233607080557,4.294771350261799,4.9429141826955485,1.819155691030458,3.8875449022794255,2.035539849990032,100.0328932,99.89002334999999
2019-07-21,-1.4138281645307915,-1.2434570903771944,-2.127103535719121,-0.6148857423612866,-2.5063968663216163,-1.0415570446950717,-3.2909734088797866,-0.550138921888589,100.0364201,99.88620354
2019-07-22,-2.3808373187613343,-3.5543040040880665,1.455251874484098,-2.957905943840559,-2.62125160352291,-3.00180779695092,-5.5803548135872045,-4.503094001825819,100.02583939142858,99.88047382285714
2019-07-23,-4.70658330182464,-2.3396960195253573,-4.612107273577984,-3.8733771219890336,-6.618721517365005,-4.762062478726353,-9.735629683202262,-5.565978730020814,100.01525868285714,99.87474410571429
2019-07-24,-1.0355606728880684,1.7864697687341162,-2.2868329666784497,2.1045316193020907,5.384033527951234,1.928642500299183,3.3236975029871183,4.712488485037075,100.00467797428571,99.86901438857143
2019-07-25,1.1870944237088596,1.2998231001836855,0.3345527183249834,-0.6774511859105596,-0.4092775153752924,-0.2961829438405003,2.0739026171926143,-1.3637543555102165,99.99409726571429,99.86328467142857
2019-07-26,-0.5670982373687216,-0.1507021634687116,-0.0785158810161576,3.0424421495926715,6.755643360529538,0.4943094967722924,4.730340776269696,0.8970585572307109,99.98351655714286,99.85755495428572
2019-07-27,-3.601121113896745,-5.403675390082607,-4.061296215912211,-4.230257078254142,-4.458245020579141,-2.6424265908790483,-6.386007735714476,-5.76588454726664,99.97293584857142,99.85182523714286
2019-07-28,0.6837737743189617,2.062519403428178,0.0205385792709522,0.8137317146197226,-0.8721960692302645,-0.410868939349934,-1.5986878138023668,1.3535639286029462,99.96235514,99.84609552
2019-07-29,-0.3559212080212149,-0.3455542952342686,-2.9357961320837807,-0.6878623116956621,1.6540348684415478,-0.9677204758674952,-3.979763950936463,0.3659960831487127,99.99409727714286,99.91867193142858
2019-07-30,0.6977339206647077,-0.6231142476877364,0.1268094617012491,2.607307037310368,-0.999175673192048,0.799312961640312,2.096146616567023,-0.1994681512425841,100.02583941428571,99.99124834285715
2019-07-31,5.153281549061188,4.131428672278658,2.789168814429514,0.4264532504801461,0.6007026239450547,2.472322566084276,-2.2728251077556063,9.121771482765244,100.05758155142857,100.06382475428572
2019-08-01,2.8792261634820067,-0.7260060377444846,3.3967855783821688,-1.2088163060615422,-2.527088656273273,1.4621616006986229,-6.294827431423642,-0.1215805620889989,100.08932368857143,100.13640116571429
2019-08-02,1.423650540886091,0.3544715416064005,-2.001164429002225,-1.2652950346065506,-2.2430201924691846,-0.0275862070714934,4.3304785548482805,-4.012947956550412,100.12106582571428,100.20897757714286
2019-08-03,2.747142030429288,2.0603343930772606,-1.4558194450988986,1.3317812411683445,0.7475045671142968,-0.0068977409925597,-4.3304785548482885,-0.6245719768612896,100.15280796285714,100.28155398857143
